"filename", "language", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\ED M J\Desktop\Leitura sobre A dança\Readme.html", "HTML", 0, 51, 0, 19, 70
"c:\Users\ED M J\Desktop\Leitura sobre A dança\Readme.md", "Markdown", 50, 0, 0, 14, 64
"c:\Users\ED M J\Desktop\Leitura sobre A dança\Readme_.md", "Markdown", 49, 0, 0, 15, 64
"c:\Users\ED M J\Desktop\Leitura sobre A dança\index.html", "HTML", 0, 0, 0, 1, 1
"Total", "-", 99, 51, 0, 49, 199
